psraid,sample,int_date,lang,version,form,llitext1,q1,eminuse,intmob,intfreq,device1a,smart1,snsint2,acct1a,acct1b,acct1c,acct1d,acct2,acct3a,acct3b,acct3c,acct3d,acct3e,acct3f,acct3g,secur1,secur2a,secur2b,secur2c,secur2d,secur2e,secur2f,secur2g,habits1a,habits1b,habits1c,habits1d,habits1e,habits1f,habits2,habits3,habits4a,habits4b,habits4c,habits5,habits6,habits7,habits8,habits9,habits10,habits11,habits12,wifi1,wifi2a,wifi2b,wifi2c,wifi2d,policy1,policy2a,policy2b,policy3,policy4,policy5,policy6a,policy6b,policy6c,policy6d,policy6e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,marital,par,emplnw3,party,partyln,ideo,inc,hh1,hh3,ql1a,qc1,habits1fos,habits9os,raceos,usr,cregion,state,density,race3m1orig,race3m2orig,race3m3orig,race3m4orig,origraceos,i_usernw2,SmartPhone,racecmb,racethn,racethn2,racethn3,hhcell,genage2016,child,partysum,partyideo,habits1cnt,iphoneuse,hphoneuse,recage,receduc,adults,ll,cp,weight,standwt
100921,1,42416,1,1,1,2,1,1,1,3,1,1,2,1,1,2,1,1,1,8,2, ,4,1,1,3,2,1,1,2, ,2,2,1,2,1,2,2,2,3,2,2,2,2,2,2, ,2, ,1,1,8,2, , , , ,1,1,1,4,4,2,3,2,2,3,1,1,70,8,2,1, , , , ,3,2,2,1, ,9,9,1, , , , , , ,U,1,36,5,1, , , , ,1,1,1,1,1,1,1,4,0,1,9,2,2,2,6,3,1,1,1,1.32352941176471,.462163430469289
100931,1,42416,1,1,2,2,1,2,2, ,2, , , , , , , , , , , ,4,3,4,2,1,1,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3,2,2,2,3,2,2,3,8,2,66,3,2,2, , , , ,1,2,3,2, ,3,99,99,99,2, , , , ,S,3,51,4,2, , , , ,0,3,2,2,2,2,0,4,99,2,4, ,1,1,6,1,2,1,0,5.91176470588235,2.06432998942949
100943,1,42416,1,1,2,1,1,1,1,2,2, ,1,1,1,1,1,2, , ,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2, ,2,1,2,2,1,1,2, , , , , ,2, , , , ,2,1,1,2,2,3,1,2,1,3,1,1,53,4,2,1, , , , ,1,1,1,2, ,3,8,4,3,1, , , , ,S,4,53,3,1, , , , ,1,3,1,1,1,1,1,3,1,2,4,1,1,2,4,2,3,1,0,5.91176470588235,2.06432998942949
100949,1,42416,1,1,2,1,2,1,1,3,1,1,2,1,2,2,2,1,4,4,4, ,4,4,4,2,1,1,2,2, ,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2, ,1,2,1,1,2,1,2,2, ,1,1,2,2,2,2,3,3,3,3,3,2,1,72,6,2,1, , , , ,1,2,2,3,8,3,9,2,2, , , , , ,S,3,45,3,1, , , , ,1,1,1,1,1,1,1,5,0,9,3,2,2,2,6,3,2,1,1,1.26470588235294,.441622833559543
100965,1,42416,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,4,4,1, ,4,1,3,3,2,2,1,2, ,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1, ,2, ,4,3,2,2, , , , ,2,2,1,2,2,2,2,2,1,2,2,2,77,8,2,1, , , , ,1,1,1,1, ,2,9,3,2, , , , , ,U,3,48,5,1, , , , ,1,1,1,1,1,1,1,5,1,1,1,2,2,2,6,3,2,1,1,1.29411764705882,.451893132014416
100971,1,42716,1,1,2,2,2,1,1,4,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,2,4,3,3,3,3,3,3,1,3,3,2,50,3,2,2, , , , ,3,2,1,2, ,4,6,1, , , , , , ,U,1,36,5,2, , , , ,1,1,2,2,2,2,1,2,0,2,5,1,2,2,4,1,1,1,1,4.17647058823529,1.45838238059198
100972,1,42716,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,4,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2, ,2,1,2,2, , , , ,1,8,3,8,4,2,3,3,3,3,3,2,31,2,2,1, , , , ,1,1,3,2, ,3,6,4,2, , , , , ,U,3,48,1,1, , , , ,1,1,1,1,1,1,1,1,2,2,4,1,2,2,2,1,2,1,1,3.97058823529412,1.38649029140787
100977,1,50316,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,1,2,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,2,2,1,2,2,3,3,1,3,1,1,39,6,2,1, , , , ,1,1,1,3,2,3,9,4,2, , , , , ,U,3,48,3,1, , , , ,1,1,1,1,1,1,1,2,2,2,3,3,2,2,3,3,2,1,1,1.88235294117647,.657299101111878
100979,1,42716,1,1,1,1,2,2,2, ,1,2, , , , , , ,2,2, , ,2,2,2,2,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,8,2,2,4,2,3,3,3,3,3,3,2,75,5,2,2, , , , ,5,2,3,2, ,3,2,2,2, , , , , ,S,3,28,1,2, , , , ,0,2,2,2,2,2,1,5,0,2,4, ,2,2,6,2,2,1,1,2.02941176470588,.708650593386244
100980,1,42716,1,1,1,1,3,1,2,1,2, ,2,2,2,2,2,2, , ,8, ,8,1,1,3,2,2,2,2, ,2,2,2,1,2,2,8,2, ,8,2,2,2,2,2, , , , , , ,1,2,2, ,2,3,8,8,1,8,8,3,3,3,3,3,2,78,4,2,1, , , , ,3,2,3,2, ,5,2,1, , , , , , ,S,2,19,3,1, , , , ,1,3,1,1,1,1,0,5,0,2,5,1,1,1,6,2,1,1,0,3.67647058823529,1.28378730685914
